category	label	unit	type
Energy	KCAL	Energy(kcal)	Numeric
Protein	PROT	Protein(g)	Numeric
Fatty Acids	TFAT	TotalFat(g)	Numeric
Carbohydrates	CARB	Carbohydrate(g)	Numeric
Other	MOIS	Water(g)	Numeric
Other	ALC	Alcohol(g)	Numeric
Other	CAFF	Caffeine(mg)	Numeric
Other	THEO	Theobromine(mg)	Numeric
Carbohydrates	SUGR	Sugars,total(g)	Numeric
Fiber	FIBE	Fiber,totaldietary(g)	Numeric
Minerals	CALC	Calcium(mg)	Numeric
Minerals	IRON	Iron(mg)	Numeric
Minerals	MAGN	Magnesium(mg)	Numeric
Minerals	PHOS	Phosphorus(mg)	Numeric
Minerals	POTA	Potassium(mg)	Numeric
Minerals	SODI	Sodium(mg)	Numeric
Minerals	ZINC	Zinc(mg)	Numeric
Minerals	COPP	Copper(mg)	Numeric
Minerals	SELE	Selenium(mcg)	Numeric
Vitamins	VC	VitaminC(mg)	Numeric
Vitamins	VB1	Thiamin(mg)	Numeric
Vitamins	VB2	Riboflavin(mg)	Numeric
Vitamins	NIAC	Niacin(mg)	Numeric
Vitamins	VB6	VitaminB-6(mg)	Numeric
Vitamins	FOLA	Folate,total(mcg)	Numeric
Vitamins	FA	Folicacid(mcg)	Numeric
Vitamins	FF	Folate,food(mcg)	Numeric
Vitamins	FDFE	Folate,DFE(mcg_DFE)	Numeric
Vitamins	VB12	VitaminB-12(mcg)	Numeric
Vitamins	VARA	VitaminA,RAE(mcg_RAE)	Numeric
Vitamins	RET	Retinol(mcg)	Numeric
Carotenoids	BCAR	Carotene,beta(mcg)	Numeric
Carotenoids	ACAR	Carotene,alpha(mcg)	Numeric
Carotenoids	CRYP	Cryptoxanthin,beta(mcg)	Numeric
Carotenoids	LYCO	Lycopene(mcg)	Numeric
Carotenoids	LZ	Lutein+zeaxanthin(mcg)	Numeric
Vitamins	ATOC	VitaminE,alpha-tocopherol(mg)	Numeric
Vitamins	VK	VitaminK,phylloquinone(mcg)	Numeric
Fatty Acids	CHOLE	Cholesterol(mg)	Numeric
Fatty Acids	SFAT	Fattyacids,totalsaturated(g)	Numeric
Fatty Acids	S040	4:0,Butanoicacid(g)	Numeric
Fatty Acids	S060	6:0,Hexanoicacid(g)	Numeric
Fatty Acids	S080	8:0,Octanoicacid(g)	Numeric
Fatty Acids	S100	10:0,Decanoicacid(g)	Numeric
Fatty Acids	S120	12:0,Dodecanoicacid(g)	Numeric
Fatty Acids	S140	14:0,Tetradecanoicacid(g)	Numeric
Fatty Acids	S160	16:0,Hexadecanoicacid(g)	Numeric
Fatty Acids	S180	18:0,Octadecanoicacid(g)	Numeric
Fatty Acids	MFAT	Fattyacids,totalmonounsaturated(g)	Numeric
Fatty Acids	M161	16:1,Hexadecenoicacid,undifferentiated(g)	Numeric
Fatty Acids	M181	18:1,Octadecenoicacid,undifferentiated(g)	Numeric
Fatty Acids	M201	20:1,Eicosenoicacid,undifferentiated(g)	Numeric
Fatty Acids	M221	22:1,Docosenoicacid,undifferentiated(g)	Numeric
Fatty Acids	PFAT	Fattyacids,totalpolyunsaturated(g)	Numeric
Fatty Acids	P182	18:2,Octadecadienoicacid(g)	Numeric
Fatty Acids	P183	18:3,Octadecatrienoicacid(g)	Numeric
Fatty Acids	P184	18:4,Octadecatetraenoicacid(g)	Numeric
Fatty Acids	P204	20:4,Eicosatetraenoicacid(g)	Numeric
Fatty Acids	P205	20:5n-3,Eicosapentaenoicacid[EPA](g)	Numeric
Fatty Acids	P225	22:5n-3,Docosapentaenoicacid[DPA](g)	Numeric
Fatty Acids	P226	22:6n-3,Docosahexaenoicacid[DHA](g)	Numeric
Vitamins	VITD	VitaminD(D2+D3)(mcg)	Numeric
Other	CHOLN	Choline,total(mg)	Numeric
Vitamins	VITE_ADD	AddedVitaminE(mg)	Numeric
Vitamins	B12_ADD	AddedVitaminB-12(mcg)	Numeric
